edgeR Analysis of Differential Expression Across Pseudotime,,,,,,
,logFC,logCPM,F,PValue,FDR,Cluster
KAT2A,0.021288574,8.23208051,189.6018684,7.94E-32,2.48E-31,2
SPSB3,0.027622544,8.361833463,324.0519553,5.02E-66,2.25E-65,2
SMC5,0.035851994,8.246304561,510.5570262,1.01E-90,5.58E-90,2
APAF1,0.025465616,8.124948642,392.2275765,4.96E-39,1.68E-38,2
TRPM4,0.024198854,8.358331492,191.805611,2.11E-43,7.54E-43,2
ARFGAP1,0.030516515,8.219928622,384.3812585,8.17E-64,3.57E-63,2
ATG4D,0.030676718,8.201597563,407.2319115,1.96E-57,8.02E-57,2
HELLS,0.002604864,8.13505755,3.54364427,0.178372632,0.239056388,2
SHROOM1,0.014067495,8.193219147,89.97588866,2.17E-16,5.50E-16,2
NXF1,0.021547846,8.209033394,197.8291841,2.10E-32,6.58E-32,2
NAALADL2,0.000808712,8.126397316,0.315249514,0.725726591,0.780636887,2
VPS13B,0.01142919,8.110161427,96.80293615,6.42E-10,1.45E-09,2
USP42,0.026016258,8.154461143,331.9825766,7.95E-39,2.69E-38,2
CCDC137,0.032702336,8.163220733,521.4777415,1.26E-68,5.78E-68,2
EP300,0.03287955,8.189709738,475.6031162,1.05E-65,4.68E-65,2
CHD6,0.017597392,8.254859017,129.4329818,4.71E-26,1.36E-25,2
SIPA1L2,0.019022591,8.12742523,206.5911588,4.99E-23,1.39E-22,2
ZNF688,0.017620651,8.171842959,140.5757703,6.02E-19,1.59E-18,2
PHPT1,0.032708585,9.049067072,605.1803005,1.63E-131,1.22E-130,2
PPP2R3C,0.029017478,8.201952489,356.5448914,1.07E-51,4.14E-51,2
PRKAG2,0.019774265,8.185887859,172.5660367,2.09E-24,5.92E-24,2
MAGI3,0.028922206,8.151646127,423.9159024,2.36E-51,9.12E-51,2
ATM,0.021198781,8.140597552,229.8783566,3.92E-25,1.12E-24,2
SLC38A2,0.033959007,8.68366098,526.9297621,5.33E-115,3.55E-114,2
COIL,0.033233894,8.193224104,499.2080218,5.55E-75,2.69E-74,2
OSGEP,0.032406492,8.187084822,472.2442305,2.41E-65,1.07E-64,2
RPL38,0.008728043,11.51030612,54.43185525,1.68E-13,4.04E-13,2
RPS29,0.0136335,12.26979182,102.9310649,4.01E-24,1.13E-23,2
FZR1,0.027397391,8.164174019,355.1378893,2.72E-44,9.82E-44,2
TAF6,0.035933921,8.185200635,593.9687768,1.50E-78,7.49E-78,2
AKAP9,0.025737744,8.70641572,332.6927896,1.10E-73,5.28E-73,2
BTAF1,0.013308179,8.122398593,110.3101324,3.33E-12,7.86E-12,2
CCDC130,0.016010876,8.180800126,122.1874898,8.47E-19,2.23E-18,2
MIR4458HG,0.007935197,8.267466176,23.4328458,3.76E-06,7.66E-06,2
PRR14,0.026728984,8.191744262,316.1032327,4.87E-44,1.75E-43,2
CLINT1,0.044167433,8.354104893,737.8909081,2.31E-159,2.13E-158,2
WWP1,0.038547495,8.229884945,596.5404647,4.00E-93,2.25E-92,2
CTTNBP2NL,0.031234189,8.188133621,433.1545475,2.47E-61,1.06E-60,2
COMMD10,0.03081558,8.175214241,433.8851203,1.03E-56,4.20E-56,2
DDX23,0.034466769,8.215679158,521.2116659,7.84E-82,4.03E-81,2
BRD9,0.02082506,8.233915877,184.4212118,1.17E-35,3.81E-35,2
LARP1B,0.023512716,8.24070901,229.8983936,1.74E-36,5.70E-36,2
CDHR5,0.017391699,8.290368856,107.1141955,4.92E-25,1.41E-24,2
PPP2R2D,0.027504764,8.163455361,362.7991285,9.35E-45,3.39E-44,2
WDR60,-0.00256075,8.298082278,2.385219283,0.309710525,0.386603477,2
ABL1,0.022581326,8.154463132,249.244049,3.88E-29,1.16E-28,2
DIAPH2,0.017807904,8.304751379,126.1233046,2.37E-25,6.81E-25,2
NOM1,0.016417952,8.225909745,112.8226951,8.71E-20,2.32E-19,2
GOLGA8A,0.007481421,8.1225379,32.41079129,0.000148156,0.00028247,2
BTG1,0.043233362,9.634913091,1042.353016,1.65E-222,2.30E-221,2
NOL3,0.030007131,8.227043526,369.8172026,3.28E-61,1.40E-60,2
RASD1,-0.017106046,8.216462526,101.917567,1.32E-19,3.50E-19,2
MAFB,-0.066797633,8.27303216,1566.568828,0,0,2
PRRG2,0.013289625,8.164235242,86.23759491,4.38E-13,1.05E-12,2
PCED1A,0.012098524,8.116613905,97.88846167,2.18E-10,4.97E-10,2
PLCE1,-0.006547058,8.13547598,26.11156663,0.000152068,0.00028978,2
MIR194-2HG,0.001329883,8.180288835,0.583070518,0.616491398,0.685197873,2
AHI1,-0.005437247,8.295471581,11.46748534,0.007191567,0.012165209,2
KIF22,0.022480495,8.150050003,262.5958953,5.17E-34,1.65E-33,2
ZNHIT6,0.020625252,8.142841064,231.2577897,5.37E-29,1.61E-28,2
CCL4,0.007950056,8.19541333,25.70762525,1.32E-05,2.63E-05,2
GPATCH2,0.018722283,8.218243156,153.2942206,5.46E-28,1.62E-27,2
SHPRH,0.013528997,8.130874054,107.3691268,7.66E-13,1.83E-12,2
AKAP8L,0.032998131,8.248634642,454.1362153,1.50E-79,7.58E-79,2
ZDHHC21,0.025650639,8.134197842,373.2772301,2.81E-41,9.78E-41,2
RALGPS2,0.029290063,8.191401149,368.7296667,5.85E-55,2.34E-54,2
KIAA0355,0.025328266,8.136320808,357.924982,6.49E-39,2.20E-38,2
GRWD1,0.03441143,8.180030607,539.8137404,4.73E-71,2.21E-70,2
HIST1H1C,0.030828556,8.461451827,306.8579035,3.76E-68,1.71E-67,2
USP40,0.022939593,8.116711202,360.3781296,3.13E-34,1.00E-33,2
SRSF7,0.035605665,8.890407008,708.7503524,2.89E-153,2.55E-152,2
PHF10,0.029965655,8.152574025,443.6988996,1.32E-49,5.02E-49,2
LTN1,0.037307434,8.152103567,713.2785522,3.54E-88,1.92E-87,2
MNAT1,0.03604959,8.188602095,575.5033287,6.77E-79,3.39E-78,2
APOC1,0.008913677,8.184978283,33.25801091,1.12E-06,2.33E-06,2
SRGN,0.008160143,8.230143604,25.38429932,3.55E-06,7.24E-06,2
CEP164,0.017985276,8.156684609,165.9166091,2.48E-22,6.83E-22,2
NRDE2,0.016221252,8.139977796,148.8760552,2.26E-19,5.99E-19,2
PITPNM1,0.025967184,8.174761719,305.3225228,1.24E-40,4.27E-40,2
ANKRD49,0.01747079,8.142351646,169.6285087,7.65E-22,2.09E-21,2
TCF25,0.014212973,8.706379021,119.024249,1.26E-27,3.71E-27,2
ACYP1,0.029883656,8.207963559,386.1783811,8.88E-58,3.65E-57,2
DDX46,0.038582942,8.58618689,741.3826994,4.29E-160,3.98E-159,2
ABCF3,0.035657032,8.136442912,744.2541633,1.12E-79,5.65E-79,2
URAD,0.018777764,8.21748177,113.4042442,6.54E-21,1.77E-20,2
TMA7,0.036534029,10.01403461,893.3044565,1.01E-191,1.15E-190,2
NOP56,0.043927905,8.794065487,855.2452918,7.99E-184,8.63E-183,2
HES1,0.002745263,9.372471212,3.043740884,0.081065576,0.117575992,2
IGKC,-0.008422322,9.682117204,28.52068285,9.38E-08,2.01E-07,2
ZNF704,0.024162225,8.137311345,300.9998161,7.78E-33,2.45E-32,2
ARID4A,0.036600964,8.189835747,593.9792655,9.25E-89,5.03E-88,2
JCHAIN,-0.015217054,8.387447444,66.23138681,4.26E-16,1.08E-15,2
IGLC3,-0.010806903,8.357584304,35.35155919,2.80E-09,6.25E-09,2
RGS1,-0.00363463,8.166777683,5.599851992,0.086745648,0.125021007,2
ID4,0.000901883,8.189995647,0.702205652,0.402054398,0.482528234,2
ZNF830,0.007383468,8.188915431,25.98040257,1.26E-05,2.52E-05,2
HIST1H2AH,-0.055889065,8.111391639,2814.352275,3.76E-238,5.87E-237,2
HIST2H2AC,-0.015256436,8.112858401,161.5818456,7.24E-16,1.82E-15,2
HOMER1,0.004097709,8.138741221,8.29486221,0.047356055,0.071977337,2
KMT2E-AS1,-0.007335219,8.176843332,23.67064022,0.000211486,0.000399559,2
SCAPER,0.009344669,8.114856136,61.91788911,2.68E-07,5.66E-07,2
TMA16,0.034542283,8.279703636,486.1322414,3.03E-85,1.60E-84,2
MCM7,0.034207809,8.306546409,453.0652098,2.42E-99,1.43E-98,2
SNRNP35,0.031678067,8.145835209,537.3095696,7.91E-62,3.40E-61,2
SMIM4,0.027446306,8.382782975,300.1090948,1.12E-66,5.05E-66,2
ELMO3,0.028871448,8.255450288,350.270754,2.11E-65,9.34E-65,2
RSRC1,0.029559741,8.277825015,364.6326708,4.77E-71,2.23E-70,2
VEGFA,0.024290974,8.690628683,235.6114256,7.55E-53,2.96E-52,2
PGP,0.032416607,8.343841031,418.1878535,6.30E-92,3.52E-91,2
FBXW4,0.024909017,8.142828674,319.4230932,1.17E-33,3.73E-33,2
FOXA2,0.034071159,8.172925317,517.3119665,1.69E-75,8.25E-75,2
IMMP1L,0.033525783,8.198276357,487.0110098,1.74E-68,7.93E-68,2
CHD9,0.029643232,8.327709284,350.2064475,1.99E-77,9.83E-77,2
TSC22D3,0.040549696,8.380704672,511.5968169,9.36E-112,6.09E-111,2
SH3BP2,0.031038683,8.141082069,521.7384268,9.17E-58,3.77E-57,2
TTF1,0.022425532,8.170416367,241.1690589,2.80E-33,8.85E-33,2
ANKRD36C,0.005078762,8.212095988,10.01620111,0.00155421,0.002781672,2
RMND5B,0.026146554,8.149667111,357.9082782,5.51E-42,1.93E-41,2
WDR70,0.021798452,8.151802242,248.148932,5.77E-31,1.78E-30,2
SNHG25,0.00451292,8.493167019,8.132760372,0.004352073,0.00753009,2
MTRNR2L1,0.01125156,8.165799675,43.86319564,4.67E-08,1.01E-07,2
FAM193B,0.00037037,8.108576803,0.361412687,0.590338249,0.662031434,2
CCL3,0.010986105,8.242454975,44.54927231,2.18E-10,4.97E-10,2
VPS8,0.019938698,8.120825303,253.9996095,1.16E-24,3.30E-24,2
TAF1C,0.008178608,8.11372719,49.37170945,4.71E-06,9.57E-06,2
LUZP1,0.031826507,8.360869019,403.1855254,2.63E-85,1.39E-84,2
AASDH,0.022561449,8.128102964,295.8475287,3.06E-32,9.59E-32,2
ID2,0.038452783,9.2181875,596.1656116,1.29E-129,9.57E-129,2
UBR2,0.035149601,8.17588405,575.7741314,1.92E-80,9.74E-80,2
TCIRG1,0.029734501,8.188366692,393.7668654,7.97E-59,3.33E-58,2
EZH2,0.028418624,8.159770545,393.191254,4.97E-49,1.88E-48,2
KIF16B,0.03484276,8.253095403,487.7020703,2.02E-86,1.08E-85,2
C6orf136,0.038068061,8.195377245,643.1251935,1.87E-89,1.02E-88,2
NQO2,0.041762828,8.218577039,722.2588148,4.30E-117,2.91E-116,2
CCNK,0.033416606,8.203042278,482.3829599,7.83E-67,3.53E-66,2
FAHD1,0.042958664,8.231875108,753.8703988,7.05E-125,5.06E-124,2
ARAP2,0.026456487,8.132167692,397.0864725,3.16E-42,1.11E-41,2
RUNDC1,0.029306839,8.179877643,377.3804694,4.60E-49,1.74E-48,2
PHF14,0.034721697,8.641700116,603.7620774,3.23E-131,2.43E-130,2
HID1,0.025734628,8.133716246,361.0808327,2.14E-38,7.20E-38,2
CHD7,0.033760097,8.312931029,469.79406,2.18E-93,1.23E-92,2
DMTF1,0.024302882,8.123775525,369.3013173,3.46E-37,1.15E-36,2
ZRSR2,0.022020742,8.138838438,268.2616725,1.71E-30,5.23E-30,2
SPAG1,0.038068905,8.206230412,565.0079444,1.38E-86,7.39E-86,2
EPS8L2,0.03800464,8.469522492,650.118251,5.74E-141,4.62E-140,2
SBF1,0.030758733,8.17173983,434.3588631,1.87E-57,7.67E-57,2
ARHGEF16,0.031511515,8.201632199,439.0723724,1.81E-66,8.15E-66,2
HSH2D,0.021497491,8.131335837,271.1788758,5.16E-30,1.57E-29,2
PRKD2,0.034793874,8.18454933,548.78197,1.19E-74,5.76E-74,2
MAP4K5,0.03587712,8.17394107,595.1777182,6.76E-78,3.36E-77,2
SAMD12,0.026354229,8.132483699,399.9419206,3.75E-43,1.33E-42,2
CLASRP,0.013096899,8.190268837,76.34298326,3.42E-11,7.93E-11,2
SETD9,0.023438514,8.1639913,255.4724936,3.91E-32,1.22E-31,2
GAK,0.038220824,8.291283293,601.3517024,4.41E-107,2.78E-106,2
WDR59,0.025257291,8.168960791,299.7802569,9.22E-38,3.08E-37,2
NUP107,0.026930404,8.164182474,345.2916769,2.09E-43,7.47E-43,2
PPP1R15A,0.047397891,9.780712287,1140.376388,1.26E-242,2.03E-241,2
SLC38A10,0.036441283,8.254917199,537.6664154,8.30E-88,4.49E-87,2
GRIPAP1,0.030805429,8.180766266,428.7265268,1.07E-56,4.37E-56,2
CCDC84,0.031306021,8.134840844,558.434078,7.18E-58,2.96E-57,2
DHDDS,0.02529465,8.128851215,380.411247,1.01E-38,3.43E-38,2
HERC2,0.024485286,8.240875131,245.9195705,2.50E-41,8.72E-41,2
KANSL2,0.027822115,8.138679723,430.7369006,3.83E-47,1.42E-46,2
TAZ,0.022544849,8.164248226,246.9036355,2.47E-32,7.75E-32,2
TCAIM,0.030470275,8.169244009,435.032793,1.45E-54,5.79E-54,2
USP34,0.033473336,8.274609251,459.2619307,1.39E-81,7.12E-81,2
PHACTR4,0.034765065,8.189516639,524.1514515,4.84E-72,2.28E-71,2
REV1,0.02720767,8.186222508,331.6394094,1.32E-46,4.87E-46,2
TNRC6A,0.027478445,8.182734009,336.5132529,5.48E-45,1.99E-44,2
AP4M1,0.025927975,8.139296924,371.3477027,7.60E-42,2.66E-41,2
RHOT2,0.023161946,8.286907964,227.893345,2.39E-43,8.51E-43,2
HDAC10,0.022657209,8.165011245,248.777791,1.04E-32,3.26E-32,2
ZG16,-0.027919701,8.122414737,420.8348809,1.25E-53,4.95E-53,2
HIST4H4,-0.025849349,8.085972282,889.041294,7.56E-53,2.97E-52,2
RNPC3,-0.002976535,8.12453951,5.875396444,0.095985634,0.137034441,2
ARC,0.004254105,8.126378996,10.53832239,0.012690705,0.020896441,2
PYY,-0.098549471,8.125492776,8514.367997,0,0,2
INSL5,-0.124715969,8.140875173,17075.04989,0,0,2
RP11-727F15.9,-0.03949774,8.090196526,1799.568518,7.66E-110,4.92E-109,2
RP11-160E2.6,-0.031371351,8.13124635,519.5860218,3.34E-59,1.40E-58,2
RPPH1,-0.066455422,8.132114396,2879.995752,1.38665366512988e-309,3.61E-308,2
RNU12,-0.057174246,8.121175622,2358.725113,1.21E-222,1.69E-221,2
SFTA2,0.025931485,8.335050457,165.7955546,8.91E-38,2.98E-37,2
BAZ2B,0.043881457,8.31174191,730.0025521,1.03E-157,9.40E-157,2
USP24,0.029129298,8.132141473,489.2588472,6.45E-50,2.46E-49,2
ZNF277,0.026964055,8.26745809,285.7949633,1.51E-45,5.53E-45,2
RNF213,0.036585561,8.530147933,513.1401267,4.41E-112,2.88E-111,2
PRKCZ,0.040357992,8.200962842,699.5134877,1.80E-99,1.07E-98,2
G0S2,0.026037247,8.178184934,253.110114,2.73E-44,9.84E-44,2
RP11-357H14.17,0.020410554,8.486827758,160.7362547,1.11E-36,3.65E-36,2
IGFBP7,0.025931239,8.126444053,400.8758373,8.57E-48,3.20E-47,2
IGHG3,0.017061341,8.373338347,87.52954646,9.23E-21,2.49E-20,2
OTUD1,0.034279514,8.18687532,446.2401712,6.95E-71,3.24E-70,2
MPHOSPH8,0.042251158,8.600896815,823.9008878,2.63E-177,2.74E-176,2
GPT2,0.037894331,8.188332763,616.4290323,2.01E-86,1.07E-85,2
TBX3,0.027002718,8.208500773,285.3190421,2.63E-50,1.01E-49,2
ADIRF,0.007494695,10.01995557,15.65884642,7.61E-05,0.000147454,2
MGMT,0.035604672,8.400434842,476.3771826,2.72E-104,1.68E-103,2
SPG11,0.035466193,8.164017033,602.8082407,5.63E-78,2.80E-77,2
CAPRIN2,0.020354414,8.107252571,313.4715485,3.22E-29,9.67E-29,2
C19orf33,0.018181965,9.802866415,130.4187972,4.19E-30,1.28E-29,2
RRBP1,0.042587096,9.215741557,1077.249407,1.11E-229,1.63E-228,2
TNIK,0.033032016,8.146254461,550.2498045,7.17E-66,3.20E-65,2
FBXW11,0.024482772,8.155590391,307.091671,1.09E-39,3.71E-39,2
GMPPB,0.033869468,8.14739835,611.9321816,1.98E-74,9.54E-74,2
IGHG4,0.023535834,8.458742337,160.9645997,9.91E-37,3.26E-36,2
NEMF,0.040275899,8.342760615,677.9754481,2.73E-146,2.29E-145,2
FUT3,0.047237544,8.34456836,829.6156954,6.30E-177,6.53E-176,2
RPP38,0.042992881,8.191237939,827.9227357,1.73E-122,1.21E-121,2
RGS2,0.020554897,8.186144877,167.9960969,2.16E-37,7.18E-37,2
ATP5EP2,0.012967538,8.20818113,69.29206434,3.47E-13,8.33E-13,2
PCSK1N,0.007684667,8.186999449,16.92394228,0.000461634,0.000855538,2
C8orf4,-0.008597391,8.490035128,17.97931082,2.24E-05,4.45E-05,2
RP11-467L13.7,0.008400727,8.228048339,23.88157553,1.03E-06,2.15E-06,2
FO538757.2,0.018974975,8.191430778,156.2700205,2.54E-22,7.01E-22,2
PLCG2,-0.186411184,9.02573034,12731.76829,0,0,2
ILF3-AS1,0.013665358,8.225283325,74.61063121,1.33E-13,3.20E-13,2
PSMD5-AS1,-0.004178387,8.142622384,8.599003209,0.044015195,0.067272256,2
METTL12,-0.013359711,8.255195094,72.27483214,3.88E-14,9.46E-14,2
IGHM,0.009830823,8.13102511,54.53414325,5.50E-10,1.24E-09,2
CTA-29F11.1,0.022170292,8.266839028,170.9831567,2.66E-32,8.34E-32,2
ITSN1,0.024439422,8.13282972,345.9697765,8.09E-38,2.70E-37,2
STAU2,0.027750801,8.145391055,400.0968171,4.02E-44,1.45E-43,2
C2orf82,0.023772466,8.417420309,183.5467845,1.29E-41,4.50E-41,2
PPAN,0.035840231,8.224330356,524.6215302,2.60E-87,1.40E-86,2
SON,0.035234025,8.863465645,756.1134993,3.59E-163,3.39E-162,2
CSTF3,0.035318502,8.195910229,536.3767311,2.58E-78,1.29E-77,2
GNL1,0.038778091,8.262440547,612.8383667,2.99E-100,1.78E-99,2
RND3,0.039057186,9.095885778,688.7166343,4.55E-149,3.89E-148,2
FAM13A,0.041019213,8.232822764,559.6200171,1.29E-118,8.82E-118,2
DDX24,0.040114829,8.457851461,705.2726806,1.54E-152,1.35E-151,2
CREM,0.033646361,8.234838675,433.9007709,1.71E-72,8.12E-72,2
FOXJ3,0.029062897,8.157607264,406.8444278,1.71E-47,6.37E-47,2
SMARCC2,0.036719454,8.201646735,586.182865,1.06E-84,5.60E-84,2
ZNF90,0.012364671,8.345051565,51.84972478,6.63E-08,1.43E-07,2
CWC25,0.029140522,8.254056433,348.0109453,1.71E-60,7.25E-60,2
NFATC2IP,0.034902944,8.287140998,478.8791043,1.78E-92,1.00E-91,2
RBBP4,0.041717129,8.322239466,716.3654985,1.46E-127,1.07E-126,2
NGLY1,0.043788492,8.207616973,837.9935443,3.67E-123,2.59E-122,2
GOLGA8B,0.017281154,8.118225716,188.0087259,2.81E-19,7.45E-19,2
ARID5A,0.028754791,8.210654485,318.9912875,1.14E-46,4.20E-46,2
RSBN1,0.033289624,8.250303681,455.6787236,4.28E-79,2.15E-78,2
RAB30-AS1,0.022822705,8.158992123,249.164755,2.02E-31,6.26E-31,2
AP3D1,0.050608196,8.456008165,1133.477662,3.26E-241,5.19E-240,2
ATP5E,0.027013539,11.03872672,295.1970846,1.19E-65,5.29E-65,2
ATP5I,0.025784071,9.50133026,305.7064969,6.63E-68,3.02E-67,2
DHRS1,0.034489867,8.189379891,518.2581679,1.32E-74,6.36E-74,2
HNMT,0.02960249,8.495160836,357.883471,4.55E-79,2.28E-78,2
TIMM44,0.038877891,8.319100914,618.0994473,1.57E-119,1.08E-118,2
COG3,0.034845263,8.219422345,499.3573972,1.77E-79,8.91E-79,2
TLE2,0.026251371,8.178325805,288.2244891,1.68E-42,5.93E-42,2
SENP5,0.030823826,8.154475418,477.9329475,4.62E-56,1.87E-55,2
SNHG18,0.036880355,8.388132858,509.0081195,3.31E-111,2.14E-110,2
NABP1,0.034398914,8.243744863,442.0568646,1.11E-82,5.77E-82,2
HILPDA,0.033065878,8.233301579,386.3611983,1.55E-83,8.08E-83,2
SNRNP27,0.038466201,8.237200453,620.2871397,2.59E-98,1.52E-97,2
LINC01133,0.034169411,8.344302261,358.7964249,2.90E-79,1.46E-78,2
IRF7,0.041040871,8.263341436,606.0278158,2.07E-120,1.43E-119,2
AP3M1,0.035471868,8.153660766,643.8603832,1.67E-75,8.15E-75,2
PRAP1,0.02730337,9.336324296,211.5816249,1.14E-47,4.25E-47,2
MICA,0.034833163,8.165238569,570.8836567,7.80E-71,3.64E-70,2
GGPS1,0.039898029,8.238469914,651.4311689,1.08E-103,6.62E-103,2
EPB41L2,0.042874558,8.397697302,687.7342398,7.31E-149,6.25E-148,2
TAOK3,0.047582896,8.373617462,934.24666,4.87E-195,5.67E-194,2
GPBP1,0.044113287,8.575553092,932.2188496,8.74E-200,1.04E-198,2
USMG5,0.037278511,9.747453718,637.707615,2.33E-138,1.85E-137,2
CPEB4,0.039309861,8.181224565,658.633538,2.11E-93,1.19E-92,2
RNF186,0.041499091,8.234145928,506.4287903,1.16E-110,7.51E-110,2
C19orf60,0.030176602,8.723584107,387.8313842,1.85E-85,9.77E-85,2
MYO1C,0.045380328,8.309944881,792.6765018,1.88E-157,1.71E-156,2
NASP,0.045306101,8.344434374,793.7377152,9.44E-170,9.30E-169,2
RASA1,0.03071175,8.190407677,394.815729,2.18E-56,8.86E-56,2
RIF1,0.043281804,8.23742855,759.480958,9.10E-129,6.72E-128,2
KLHDC2,0.045732922,8.398745375,862.0467759,1.61E-179,1.70E-178,2
ZNF33A,0.038570626,8.169492089,699.116278,3.76E-86,2.00E-85,2
AAK1,0.034600375,8.173663355,540.0895028,3.06E-74,1.47E-73,2
ATHL1,0.026954892,8.159650013,306.3778533,1.26E-41,4.41E-41,2
COG2,0.037340846,8.149003194,736.6213695,1.12E-84,5.88E-84,2
USP16,0.045499949,8.439738673,904.1810312,5.60E-194,6.46E-193,2
BAZ1A,0.048016811,8.431296836,949.8944811,1.93E-203,2.37E-202,2
SERF2,0.04344638,10.98836928,1092.953811,6.60E-233,9.93E-232,2
SRPK2,0.043339508,8.286993194,752.7615487,5.32E-130,3.96E-129,2
RP11-14N7.2,0.033064849,8.222175981,426.0411722,4.29E-69,1.97E-68,2
AP2B1,0.041706313,8.398190006,685.323352,2.34E-148,1.99E-147,2
MED6,0.03304607,8.17292819,503.8444556,1.55E-65,6.90E-65,2
SNRNP200,0.043749453,8.36717389,804.7719787,3.27E-158,3.00E-157,2
MTMR11,0.039720176,8.257003476,590.4607434,7.61E-108,4.83E-107,2
MKNK1,0.035737351,8.14481199,672.4342926,3.14E-73,1.50E-72,2
CCDC64B,0.039263935,8.316586423,575.2108849,1.43E-113,9.41E-113,2
XIST,0.039707482,8.476752501,351.026785,1.33E-77,6.58E-77,2
CPSF3L,0.035963366,8.265856009,515.0027342,2.31E-81,1.18E-80,2
SLC26A2,0.050084155,8.288650356,559.5632213,6.77E-122,4.74E-121,2
NRIP1,0.030295135,8.132308989,514.2433807,1.17E-52,4.56E-52,2
AIDA,0.036901442,8.248620724,555.6294799,1.02E-89,5.57E-89,2
WASH1,0.02621054,8.20485301,282.1348827,3.18E-38,1.07E-37,2
RND1,0.033606412,8.165424554,454.4394579,4.26E-67,1.92E-66,2
THOC2,0.046955493,8.508267601,999.7318798,9.90E-214,1.30E-212,2
ATF6B,0.038835957,8.327519792,621.9297251,1.36E-121,9.49E-121,2
CAPS,0.035177429,8.250317111,394.9494617,1.87E-78,9.34E-78,2
USP53,0.046650501,8.399900804,784.2268169,4.86E-169,4.75E-168,2
BORCS7,0.034193987,8.240691126,471.7029866,8.64E-75,4.18E-74,2
TMC5,0.048584387,8.732307063,1018.181906,1.56E-217,2.10E-216,2
STRA13,0.034890507,8.679889957,491.1453897,2.01E-107,1.27E-106,2
C15orf48,0.052125621,10.04552973,708.7551921,2.88E-153,2.54E-152,2
B2M,0.046747344,12.34915207,868.8187708,1.21E-186,1.33E-185,2
SEC24C,0.036070672,8.141845867,701.9011924,4.12E-76,2.02E-75,2
PTPRE,0.036717041,8.141301541,724.404091,5.29E-80,2.68E-79,2
MTF2,0.040323107,8.216909723,683.7308342,1.22E-101,7.34E-101,2
SEZ6L2,0.042575791,8.242405109,644.5213245,3.88E-118,2.64E-117,2
SH3PXD2A,0.043892875,8.207207379,780.896757,1.05E-119,7.18E-119,2
SVIL,0.048331483,8.268157987,857.9384554,3.95E-164,3.76E-163,2
USP33,0.038871771,8.172586847,701.0674731,8.30E-90,4.55E-89,2
COL1A1,0.046701444,8.150447005,943.8678484,2.42E-133,1.85E-132,2
KRT6A,0.047693302,8.29643764,424.6234061,2.69E-93,1.52E-92,2
C6orf15,0.025924647,8.83118857,121.0693107,4.51E-28,1.34E-27,2
GPX3,0.036782627,8.345444475,266.1311208,2.06E-59,8.64E-59,2
TRA2B,0.050572048,8.707300531,1235.805401,4.11E-262,7.58E-261,2
MAPK9,0.036141301,8.148588378,674.4596045,1.55E-74,7.48E-74,2
PSORS1C1,0.02794124,8.158881479,353.3421955,5.32E-45,1.93E-44,2
STX4,0.045058717,8.315089306,839.3049241,3.97E-160,3.68E-159,2
ARHGAP21,0.0444341,8.239360626,782.0933856,4.18E-127,3.05E-126,2
TRIM26,0.039097029,8.184019154,680.6012308,4.37E-88,2.36E-87,2
KBTBD2,0.037541619,8.17354824,634.848973,1.69E-77,8.37E-77,2
HSPG2,0.046131399,8.211771258,840.226039,7.63E-135,5.88E-134,2
FN1,0.041872675,8.261694897,407.8675461,9.93E-90,5.44E-89,2
PSORS1C2,0.04832474,8.169129122,617.7975537,3.59E-134,2.75E-133,2
TMEM125,0.042865154,8.243946812,716.4059037,1.19E-113,7.87E-113,2
ATG4B,0.049829405,8.261346307,1030.641451,2.46E-173,2.48E-172,2
ZNFX1,0.040901862,8.188798327,717.3146812,2.22E-100,1.33E-99,2
LIPH,0.052267202,8.478908602,977.2533471,4.30E-209,5.49E-208,2
DLG1,0.045752348,8.2640783,832.3818399,6.94E-140,5.55E-139,2
SIRT7,0.046826382,8.329727483,879.5208393,1.23E-168,1.20E-167,2
XAF1,0.041876606,8.174709942,706.524518,1.36E-113,8.98E-113,2
ATXN3,0.033356639,8.159811019,528.4152532,1.42E-60,6.03E-60,2
MCF2L,0.035154791,8.142223499,632.87169,7.63E-71,3.56E-70,2
ATP5J2,0.04918343,9.647573796,1096.261062,1.38E-233,2.09E-232,2
IL32,0.05044806,10.02096593,904.372684,5.11E-194,5.90E-193,2
KIAA0226L,0.041014599,8.24975266,521.2591387,1.06E-106,6.64E-106,2
HERC4,0.043424101,8.257649287,741.2326109,4.28E-118,2.91E-117,2
MRPL12,0.04599945,8.910505616,886.2723312,2.89E-190,3.25E-189,2
ABHD11,0.049111832,8.700496398,1138.305976,3.34E-242,5.37E-241,2
TNK2,0.040712125,8.190947327,684.5063836,4.38E-98,2.57E-97,2
LPCAT4,0.053243177,8.254602459,1047.272626,3.83E-190,4.30E-189,2
FLII,0.044119876,8.25518311,777.9132544,1.94E-125,1.40E-124,2
GLUL,0.057692536,8.630127011,1246.75997,2.42E-264,4.52E-263,2
RASA2,0.039856156,8.187644034,682.4884165,8.72E-94,4.94E-93,2
TMC6,0.047039057,8.287678755,881.1554957,2.78E-158,2.55E-157,2
NUP50,0.040113532,8.227475042,643.5249554,3.93E-98,2.31E-97,2
POLR2B,0.042041792,8.313922493,682.241372,8.43E-127,6.13E-126,2
SEPW1,0.042958239,9.14042931,786.135765,1.94E-169,1.91E-168,2
TIA1,0.039531511,8.20906706,661.0039891,2.33E-93,1.32E-92,2
